text,label,source_url
Real Madrid,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Santiago Bernabéu,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
European Footballer,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
1973,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
his first season,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Ballon,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Ajax,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
1971,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1974,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1978,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Josep,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Lluís Núñez,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
FC Barcelona,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Spain,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
1974,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
the end of,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Franco,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
22 years,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Núñez,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Diego Maradona,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Romário,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Ronaldo,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
first European Cup Winners' Cup,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
16 May 1979,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Fortuna Düsseldorf 4–3,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Basel,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
The same year,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Núñez,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
La Masia,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
young academy,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona.[73,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
June 1982,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Diego Maradona,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
the following season,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
César Luis Menotti,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
the Copa del Rey,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Real Madrid,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Maradona,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Napoli,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Terry Venables,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
La Liga,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
German,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Bernd Schuster,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
The next season,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
European Cup,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
Steaua București,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Núñez,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Boixos Nois,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Núñez,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
