Private Entity,External URI,Confidence
http://example.org/LukeSteele,http://www.wikidata.org/entity/Q618021,1.0
http://example.org/Peterborough,http://www.wikidata.org/entity/Q172438,1.0
http://example.org/AlfAinsworth,http://www.wikidata.org/entity/Q622406,1.0
http://example.org/RavelMorrison,http://www.wikidata.org/entity/Q642785,1.0
http://example.org/Wythenshawe,http://www.wikidata.org/entity/Q3570246,1.0
http://example.org/MalDonaghy,http://www.wikidata.org/entity/Q648928,1.0
http://example.org/PeterBarnes,http://www.wikidata.org/entity/Q671172,1.0
http://example.org/LarnellCole,http://www.wikidata.org/entity/Q674513,1.0
http://example.org/RuiFaria,http://www.wikidata.org/entity/Q704528,1.0
http://example.org/Baluges,http://www.wikidata.org/entity/Q607244,1.0
http://example.org/LeeSharpe,http://www.wikidata.org/entity/Q706028,1.0
http://example.org/Halesowen,http://www.wikidata.org/entity/Q612260,1.0
http://example.org/ErnestMangnall,http://www.wikidata.org/entity/Q706085,1.0
http://example.org/ArthurGmez,http://www.wikidata.org/entity/Q709631,1.0
http://example.org/TheGambia,http://www.wikidata.org/entity/Q1005,1.0
http://example.org/Banjul,http://www.wikidata.org/entity/Q3726,1.0
http://example.org/JohnConnelly,http://www.wikidata.org/entity/Q712408,1.0
http://example.org/GaryBailey,http://www.wikidata.org/entity/Q713610,1.0
http://example.org/JimmyGreenhoff,http://www.wikidata.org/entity/Q716063,1.0
http://example.org/Barnsley,http://www.wikidata.org/entity/Q54212,1.0
http://example.org/StuartPearson,http://www.wikidata.org/entity/Q716239,1.0
http://example.org/KingstonUponHull,http://www.wikidata.org/entity/Q128147,1.0
http://example.org/GarryBirtles,http://www.wikidata.org/entity/Q719572,1.0
http://example.org/MartinBuchan,http://www.wikidata.org/entity/Q720947,1.0
http://example.org/Aberdeen,http://www.wikidata.org/entity/Q36405,1.0
http://example.org/StewartHouston,http://www.wikidata.org/entity/Q722580,1.0
http://example.org/Dunoon,http://www.wikidata.org/entity/Q1020251,1.0
http://example.org/WillKeane,http://www.wikidata.org/entity/Q723565,1.0
http://example.org/RamnHicks,http://www.wikidata.org/entity/Q732645,1.0
http://example.org/Paraguay,http://www.wikidata.org/entity/Q733,1.0
http://example.org/Asuncin,http://www.wikidata.org/entity/Q2933,1.0
http://example.org/MarkJones,http://www.wikidata.org/entity/Q735017,1.0
http://example.org/WilliamHenryDean,http://www.wikidata.org/entity/Q735971,1.0
http://example.org/BillyBall,http://www.wikidata.org/entity/Q736407,1.0
http://example.org/WestDerby,http://www.wikidata.org/entity/Q7984951,1.0
http://example.org/GarthCrooks,http://www.wikidata.org/entity/Q737899,1.0
http://example.org/Stokeontrent,http://www.wikidata.org/entity/Q134902,1.0
http://example.org/JoeDale,http://www.wikidata.org/entity/Q741037,1.0
http://example.org/Northwich,http://www.wikidata.org/entity/Q2009813,1.0
http://example.org/EdwinLee,http://www.wikidata.org/entity/Q743501,1.0
http://example.org/Lymm,http://www.wikidata.org/entity/Q998181,1.0
http://example.org/MattyJames,http://www.wikidata.org/entity/Q755567,1.0
http://example.org/Bacup,http://www.wikidata.org/entity/Q2514944,1.0
http://example.org/ReeceBrown,http://www.wikidata.org/entity/Q756547,1.0
http://example.org/PaulParker,http://www.wikidata.org/entity/Q769780,1.0
http://example.org/JohnnyCarey,http://www.wikidata.org/entity/Q780475,1.0
http://example.org/AlanTate,http://www.wikidata.org/entity/Q787761,1.0
http://example.org/CountyDurham,http://www.wikidata.org/entity/Q23082,1.0
http://example.org/BenCollett,http://www.wikidata.org/entity/Q816468,1.0
http://example.org/BenMarshall,http://www.wikidata.org/entity/Q816557,1.0
http://example.org/BojanDjordjic,http://www.wikidata.org/entity/Q833673,1.0
http://example.org/Belgrade,http://www.wikidata.org/entity/Q3711,1.0
http://example.org/GeorgeAnderson,http://www.wikidata.org/entity/Q839126,1.0
http://example.org/CheethamHill,http://www.wikidata.org/entity/Q2015708,1.0
http://example.org/RyanTunnicliffe,http://www.wikidata.org/entity/Q852315,1.0
http://example.org/GreaterManchester,http://www.wikidata.org/entity/Q23099,1.0
http://example.org/CorryEvans,http://www.wikidata.org/entity/Q853594,1.0
http://example.org/BillyDavies,http://www.wikidata.org/entity/Q863076,1.0
http://example.org/BillyGrassam,http://www.wikidata.org/entity/Q863104,1.0
http://example.org/Larbert,http://www.wikidata.org/entity/Q1389537,1.0
http://example.org/BobHarrop,http://www.wikidata.org/entity/Q887975,1.0
http://example.org/BobRamsey,http://www.wikidata.org/entity/Q888205,1.0
http://example.org/BrianGreenhoff,http://www.wikidata.org/entity/Q912274,1.0
http://example.org/OliverNorwood,http://www.wikidata.org/entity/Q920425,1.0
